DBN,School-Grade,School,Grade,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3-4,% Level 3-4,Average Class Size,Smallest Class Size,Largest Class Size
09X042,P.S. 42 CLAREMONT-4,P.S. 42 CLAREMONT,4,280,29,47.5,27,44.3,5,8.2,0,0.0,5,8.2,21,20,22
17K394,M.S. K394-4,M.S. K394,4,270,33,67.3,12,24.5,4,8.2,0,0.0,4,8.2,24.5,24,25
04M102,P.S. 102 JACQUES CARTIER-4,P.S. 102 JACQUES CARTIER,4,276,20,54.1,14,37.8,3,8.1,0,0.0,3,8.1,#N/A,#N/A,#N/A
12X463,URBAN SCHOLARS COMMUNITY SCHOOL-4,URBAN SCHOLARS COMMUNITY SCHOOL,4,269,32,62.7,15,29.4,4,7.8,0,0.0,4,7.8,23,23,23
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL-4,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,4,264,20,76.9,4,15.4,2,7.7,0,0.0,2,7.7,17,17,17
29Q156,P.S. 156 LAURELTON-4,P.S. 156 LAURELTON,4,278,36,52.9,27,39.7,5,7.4,0,0.0,5,7.4,19,19,19
23K165,P.S. 165 IDA POSNER-4,P.S. 165 IDA POSNER,4,253,46,82.1,6,10.7,4,7.1,0,0.0,4,7.1,24,24,24
12X057,P.S. 57 CRESCENT-4,P.S. 57 CRESCENT,4,278,37,52.1,29,40.8,5,7.0,0,0.0,5,7.0,22.33333333,22,23
05M194,P.S. 194 COUNTEE CULLEN-4,P.S. 194 COUNTEE CULLEN,4,259,21,72.4,6,20.7,2,6.9,0,0.0,2,6.9,23,23,23
23K298,P.S. 298 DR. BETTY SHABAZZ-4,P.S. 298 DR. BETTY SHABAZZ,4,270,18,62.1,9,31.3,2,6.9,0,0.0,2,6.9,27,27,27
16K025,P.S. 25 EUBIE BLAKE SCHOOL-4,P.S. 25 EUBIE BLAKE SCHOOL,4,277,17,56.7,11,36.7,2,6.7,0,0.0,2,6.7,21,21,21
23K150,P.S. 150 CHRISTOPHER-4,P.S. 150 CHRISTOPHER,4,275,21,67.7,8,25.8,2,6.5,0,0.0,2,6.5,20,20,20
30Q111,P.S. 111 JACOB BLACKWELL-4,P.S. 111 JACOB BLACKWELL,4,273,18,56.3,12,37.5,2,6.3,0,0.0,2,6.3,13,13,13
29Q138,P.S./ M.S.138 SUNRISE-4,P.S./ M.S.138 SUNRISE,4,265,56,67.5,22,26.5,5,6.0,0,0.0,5,6.0,24.33333333,21,26
17K167,P.S. 167 THE PARKWAY-4,P.S. 167 THE PARKWAY,4,273,28,54.9,20,39.2,3,5.9,0,0.0,3,5.9,18,18,18
27Q215,P.S. 215 LUCRETIA MOTT-4,P.S. 215 LUCRETIA MOTT,4,264,49,71.0,16,23.2,4,5.8,0,0.0,4,5.8,#N/A,#N/A,#N/A
17K770,P.S. 770 NEW AMERICAN ACADEMY-4,P.S. 770 NEW AMERICAN ACADEMY,4,273,9,50.0,8,44.4,1,5.6,0,0.0,1,5.6,#N/A,#N/A,#N/A
10X085,P.S. 85 GREAT EXPECTATIONS-4,P.S. 85 GREAT EXPECTATIONS,4,262,122,72.6,37,22.0,9,5.4,0,0.0,9,5.4,26.25,24,29
04M375,MOSAIC PREPARATORY ACADEMY-4,MOSAIC PREPARATORY ACADEMY,4,262,40,70.2,14,24.6,3,5.3,0,0.0,3,5.3,23,23,23
19K273,P.S. 273 WORTMAN-4,P.S. 273 WORTMAN,4,270,35,58.3,22,36.7,3,5.0,0,0.0,3,5.0,28,28,28
16K081,P.S. 81 THADDEUS STEVENS-4,P.S. 81 THADDEUS STEVENS,4,271,38,62.3,20,32.8,3,4.9,0,0.0,3,4.9,24,24,24
19K174,P.S. 174 DUMONT-4,P.S. 174 DUMONT,4,261,32,78.0,7,17.1,2,4.9,0,0.0,2,4.9,18.5,17,20
03M076,P.S. 76 A. PHILIP RANDOLPH-4,P.S. 76 A. PHILIP RANDOLPH,4,276,22,52.4,18,42.9,2,4.8,0,0.0,2,4.8,19.5,19,20
09X064,P.S. 64 PURA BELPRE-4,P.S. 64 PURA BELPRE,4,268,98,70.0,36,25.7,6,4.3,0,0.0,6,4.3,29.75,28,31
01M15,P.S. 15 ROBERTO CLEMENTE-4,P.S. 15 ROBERTO CLEMENTE,4,282,9,37.5,14,58.3,1,4.2,0,0.0,1,4.2,17,17,17
23K323,P.S./I.S. 323-4,P.S./I.S. 323,4,276,27,55.1,20,40.8,2,4.1,0,0.0,2,4.1,29,29,29
19K202,P.S. 202 ERNEST S. JENKYNS-4,P.S. 202 ERNEST S. JENKYNS,4,267,56,71.8,19,24.4,3,3.8,0,0.0,3,3.8,#N/A,#N/A,#N/A
31R031,P.S. 31 WILLIAM T. DAVIS-4,P.S. 31 WILLIAM T. DAVIS,4,272,39,61.9,22,34.9,2,3.2,0,0.0,2,3.2,27,27,27
08X333,#REF!,P.S. 333 - THE MUSEUM SCHOOL,4,260,56,84.8,8,12.1,2,3.0,0,0.0,2,3.0,#REF!,#REF!,#REF!
13K067,P.S. 67 CHARLES A. DORSEY-4,P.S. 67 CHARLES A. DORSEY,4,264,33,68.8,14,29.2,1,2.1,0,0.0,1,2.1,18,18,18
05M123,P.S. 123 MAHALIA JACKSON-4,P.S. 123 MAHALIA JACKSON,4,270,37,75.5,11,22.4,1,2.0,0,0.0,1,2.0,20,19,21
07X065,P.S. 65 MOTHER HALE ACADEMY-4,P.S. 65 MOTHER HALE ACADEMY,4,274,35,64.8,18,33.3,1,1.9,0,0.0,1,1.9,28,28,28
03M149,P.S. 149 SOJOURNER TRUTH-4,P.S. 149 SOJOURNER TRUTH,4,242,21,87.5,3,12.5,0,0.0,0,0.0,0,0.0,28,28,28
12X211,P.S. 211-4,P.S. 211,4,263,33,82.5,7,17.5,0,0.0,0,0.0,0,0.0,30,30,30
23K178,P.S. 178 SAINT CLAIR MCKELWAY-4,P.S. 178 SAINT CLAIR MCKELWAY,4,266,30,78.9,8,21.1,0,0.0,0,0.0,0,0.0,34,34,34
12X092,P.S. 92 BRONX-4,P.S. 92 BRONX,4,256,65,83.3,13,16.7,0,0.0,0,0.0,0,0.0,#N/A,#N/A,#N/A
16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION-5,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,5,303,5,27.8,8,44.4,5,27.8,0,0.0,5,27.8,18,18,18
16K040,P.S. 40 GEORGE W. CARVER-5,P.S. 40 GEORGE W. CARVER,5,300,12,35.3,13,38.2,9,26.5,0,0.0,9,26.5,20.5,20,21
06M192,P.S. 192 JACOB H. SCHIFF-5,P.S. 192 JACOB H. SCHIFF,5,301,12,34.3,14,40.0,9,25.7,0,0.0,9,25.7,33,33,33
23K178,P.S. 178 SAINT CLAIR MCKELWAY-5,P.S. 178 SAINT CLAIR MCKELWAY,5,298,13,39.4,13,39.4,7,21.2,0,0.0,7,21.2,32,32,32
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY-5,P.S. 3 RAUL JULIA MICRO SOCIETY,5,295,6,31.6,9,47.4,4,21.1,0,0.0,4,21.1,25,25,25
13K270,#REF!,P.S. 270 JOHANN DEKALB,5,299,6,25.0,13,54.2,5,20.8,0,0.0,5,20.8,#REF!,#REF!,#REF!
04M096,P.S. 96 JOSEPH LANZETTA-5,P.S. 96 JOSEPH LANZETTA,5,292,31,58.5,11,20.8,11,20.8,0,0.0,11,20.8,#N/A,#N/A,#N/A
13K054,P.S. 54 SAMUEL C. BARNES-5,P.S. 54 SAMUEL C. BARNES,5,279,13,65.0,3,15.0,4,20.0,0,0.0,4,20.0,30,30,30
19K089,P.S. 89 CYPRESS HILLS-5,P.S. 89 CYPRESS HILLS,5,285,24,64.9,6,16.2,7,18.9,0,0.0,7,18.9,18,18,18
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL-5,DR. JACQUELINE PEEK-DAVIS SCHOOL,5,289,16,50.0,10,31.3,6,18.8,0,0.0,6,18.8,19,19,19
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL-5","P.S. 145, THE BLOOMINGDALE SCHOOL",5,288,20,45.5,16,36.4,8,18.2,0,0.0,8,18.2,23,22,24
04M038,P.S. 38 ROBERTO CLEMENTE-5,P.S. 38 ROBERTO CLEMENTE,5,291,18,46.2,14,35.9,7,17.9,0,0.0,7,17.9,19,19,19
12X212,P.S. 212-5,P.S. 212,5,291,12,35.3,16,47.1,6,17.6,0,0.0,6,17.6,19,15,23
18K268,P.S. 268 EMMA LAZARUS-5,P.S. 268 EMMA LAZARUS,5,294,28,44.4,24,38.1,11,17.5,0,0.0,11,17.5,30,30,30
15K676,RED HOOK NEIGHBORHOOD SCHOOL-5,RED HOOK NEIGHBORHOOD SCHOOL,5,276,20,69.0,4,13.8,5,17.2,0,0.0,5,17.2,26,26,26
06M325,P.S. 325-5,P.S. 325,5,287,18,51.4,11,31.4,6,17.1,0,0.0,6,17.1,18.5,18,19
12X057,P.S. 57 CRESCENT-5,P.S. 57 CRESCENT,5,289,37,44.6,32,38.6,14,16.9,0,0.0,14,16.9,22.5,22,23
16K026,P.S. 26 JESSE OWENS-5,P.S. 26 JESSE OWENS,5,296,11,36.7,14,46.7,5,16.7,0,0.0,5,16.7,34,34,34
32K151,P.S. 151 LYNDON B. JOHNSON-5,P.S. 151 LYNDON B. JOHNSON,5,299,16,37.2,20,46.5,7,16.3,0,0.0,7,16.3,25,25,25
01M064,P.S. 64 ROBERT SIMON-5,P.S. 64 ROBERT SIMON,5,292,16,42.1,16,42.1,6,15.8,0,0.0,6,15.8,22,22,22
07X030,P.S. 30 WILTON-5,P.S. 30 WILTON,5,284,36,55.4,19,29.2,10,15.4,0,0.0,10,15.4,23.33333333,21,26
05M197,P.S. 197 JOHN B. RUSSWURM-5,P.S. 197 JOHN B. RUSSWURM,5,284,21,61.8,8,23.5,5,14.7,0,0.0,5,14.7,19,18,20
22K251,P.S. 251 PAERDEGAT-5,P.S. 251 PAERDEGAT,5,290,30,48.4,24,38.7,8,12.9,0,0.0,8,12.9,23,21,25
06M005,P.S. 05 ELLEN LURIE-5,P.S. 05 ELLEN LURIE,5,279,62,66.0,20,21.3,12,12.8,0,0.0,12,12.8,22,15,28
05M123,P.S. 123 MAHALIA JACKSON-5,P.S. 123 MAHALIA JACKSON,5,278,39,68.4,11,19.3,7,12.3,0,0.0,7,12.3,22,22,22
13K046,P.S. 46 EDWARD C. BLUM-5,P.S. 46 EDWARD C. BLUM,5,286,23,56.1,13,31.7,5,12.2,0,0.0,5,12.2,25,25,25
01M063,THE STAR ACADEMY - P.S.63-5,THE STAR ACADEMY - P.S.63,5,282,10,58.8,5,29.4,2,11.8,0,0.0,2,11.8,#N/A,#N/A,#N/A
17K092,P.S. 92 ADRIAN HEGEMAN-5,P.S. 92 ADRIAN HEGEMAN,5,285,52,65.8,18,22.8,9,11.4,0,0.0,9,11.4,#N/A,#N/A,#N/A
23K155,P.S./ I.S. 155 NICHOLAS HERKIMER-5,P.S./ I.S. 155 NICHOLAS HERKIMER,5,274,31,64.6,12,25.0,5,10.4,0,0.0,5,10.4,19,18,20
16K335,P.S. 335 GRANVILLE T. WOODS-5,P.S. 335 GRANVILLE T. WOODS,5,280,25,64.1,10,25.6,4,10.3,0,0.0,4,10.3,15,15,15
32K106,P.S. 106 EDWARD EVERETT HALE-5,P.S. 106 EDWARD EVERETT HALE,5,287,40,53.3,28,37.3,7,9.3,0,0.0,7,9.3,#N/A,#N/A,#N/A
23K323,P.S./I.S. 323-5,P.S./I.S. 323,5,284,28,63.6,12,27.3,4,9.1,0,0.0,4,9.1,25,25,25
