Original_County	State	Guns	joinfield	state_fips	county_fips
LINCOLN	NE	10	NE-LINCOLN	#N/A	
LINCOLN	NM	1	NM-LINCOLN	#N/A	
LINCOLN	OK	1	OK-LINCOLN	#N/A	
LINCOLN	TN	1	TN-LINCOLN	#N/A	
LINCOLN	WI	32	WI-LINCOLN	#N/A	
LINCOLN	WV	2	WV-LINCOLN	#N/A	
LINN	IA	71	IA-LINN	#N/A	
LINN	OR	1	OR-LINN	#N/A	
LITCHFIELD	CT	1	CT-LITCHFIELD	#N/A	
LITTLE RIVER	AR	2	AR-LITTLE RIVER	#N/A	
LIVINGSTON	IL	11	IL-LIVINGSTON	#N/A	
LIVINGSTON	KY	9	KY-LIVINGSTON	#N/A	
LIVINGSTON	LA	3	LA-LIVINGSTON	#N/A	
LOGAN	IL	9	IL-LOGAN	#N/A	
LOGAN	KY	6	KY-LOGAN	#N/A	
LOGAN	OH	14	OH-LOGAN	#N/A	
LOGAN	WV	14	WV-LOGAN	#N/A	
LONG	GA	1	GA-LONG	#N/A	
LONOKE	AR	13	AR-LONOKE	#N/A	
LORAIN	OH	34	OH-LORAIN	#N/A	
LOS ALAMOS	NM	2	NM-LOS ALAMOS	#N/A	
LOS ANGELES	CA	172	CA-LOS ANGELES	#N/A	
LOUDON	TN	3	TN-LOUDON	#N/A	
LOUDOUN	VA	1	VA-LOUDOUN	#N/A	
LOWNDES	GA	8	GA-LOWNDES	#N/A	
LOWNDES	MS	91	MS-LOWNDES	#N/A	
LUBBOCK	TX	9	TX-LUBBOCK	#N/A	
LUCAS	IA	1	IA-LUCAS	#N/A	
LUCAS	OH	26	OH-LUCAS	#N/A	
LUCE	MI	1	MI-LUCE	#N/A	
LUMPKIN	GA	4	GA-LUMPKIN	#N/A	
LUNA	NM	1	NM-LUNA	#N/A	
LUZERNE	PA	8	PA-LUZERNE	#N/A	
LYCOMING	PA	2	PA-LYCOMING	#N/A	
LYNCHBURG CITY	VA	3	VA-LYNCHBURG CITY	#N/A	
LYON	KS	1	KS-LYON	#REF!	
LYON	KY	3	KY-LYON	#N/A	
LYON	NV	3	NV-LYON	#N/A	
MACKINAC	MI	1	MI-MACKINAC	#N/A	
MACOMB	MI	32	MI-MACOMB	#N/A	
MACON	AL	3	AL-MACON	#N/A	
MACON	IL	71	IL-MACON	#N/A	
MACON	MO	2	MO-MACON	#N/A	
MACON	NC	2	NC-MACON	#N/A	
MACON	TN	3	TN-MACON	#N/A	
MACOUPIN	IL	17	IL-MACOUPIN	#N/A	
MADISON	AL	109	AL-MADISON	#N/A	
MADISON	IL	39	IL-MADISON	#N/A	
MADISON	IN	42	IN-MADISON	#N/A	
MADISON	KY	23	KY-MADISON	#N/A	
MADISON	LA	10	LA-MADISON	#N/A	
MADISON	MS	165	MS-MADISON	#N/A	
MADISON	MT	1	MT-MADISON	#N/A	
MADISON	NE	8	NE-MADISON	#N/A	
MADISON	OH	2	OH-MADISON	#N/A	
MADISON	TN	44	TN-MADISON	#N/A	
MAGOFFIN	KY	4	KY-MAGOFFIN	#N/A	
MAHONING	OH	36	OH-MAHONING	#N/A	
MALHEUR	OR	2	OR-MALHEUR	#N/A	
MANASSAS CITY	VA	3	VA-MANASSAS CITY	#N/A	
MANASSAS PARK CITY	VA	2	VA-MANASSAS PARK CITY	#REF!	
MANATEE	FL	7	FL-MANATEE	#REF!	
MANISTEE	MI	4	MI-MANISTEE	#N/A	
MANITOWOC	WI	8	WI-MANITOWOC	#N/A	
MARATHON	WI	6	WI-MARATHON	#N/A	
MARENGO	AL	8	AL-MARENGO	#N/A	
MARICOPA	AZ	213	AZ-MARICOPA	#N/A	
MARINETTE	WI	25	WI-MARINETTE	#N/A	
MARION	AL	8	AL-MARION	#N/A	
MARION	FL	13	FL-MARION	#N/A	
MARION	IA	2	IA-MARION	#N/A	
MARION	IL	33	IL-MARION	#N/A	
MARION	IN	"1,106"	IN-MARION	#N/A	
MARION	KY	3	KY-MARION	#N/A	
MARION	MO	4	MO-MARION	#N/A	
MARION	MS	19	MS-MARION	#N/A	
MARION	OH	16	OH-MARION	#N/A	
MARION	OR	5	OR-MARION	#N/A	
MARION	SC	1	SC-MARION	#N/A	
MARION	TN	6	TN-MARION	#N/A	
MARION	WV	5	WV-MARION	#N/A	
MARLBORO	SC	3	SC-MARLBORO	#N/A	
MARQUETTE	MI	7	MI-MARQUETTE	#N/A	
MARQUETTE	WI	6	WI-MARQUETTE	#N/A	
MARSHALL	AL	39	AL-MARSHALL	#N/A	
MARSHALL	IA	7	IA-MARSHALL	#N/A	
MARSHALL	IL	7	IL-MARSHALL	#N/A	
MARSHALL	IN	16	IN-MARSHALL	#N/A	
MARSHALL	KS	1	KS-MARSHALL	#N/A	
MARSHALL	KY	4	KY-MARSHALL	#N/A	
MARSHALL	MS	69	MS-MARSHALL	#N/A	
MARSHALL	TN	1	TN-MARSHALL	#N/A	
MARSHALL	WV	2	WV-MARSHALL	#N/A	
MARTIN	FL	6	FL-MARTIN	#N/A	
MARTIN	IN	1	IN-MARTIN	#N/A	
MARTIN	KY	3	KY-MARTIN	#N/A	
MARTIN	MN	1	MN-MARTIN	#N/A	
MARTIN	NC	3	NC-MARTIN	#N/A	
MARTINSVILLE CITY	VA	2	VA-MARTINSVILLE CITY	#N/A	
MASON	IL	2	IL-MASON	#REF!	
MASON	KY	1	KY-MASON	#N/A	
MASON	MI	1	MI-MASON	#N/A	
MASON	WV	1	WV-MASON	#N/A	
MASSAC	IL	2	IL-MASSAC	#N/A	
MATAGORDA	TX	1	TX-MATAGORDA	#N/A	
MATANUSKA SUSITNA	AK	2	AK-MATANUSKA SUSITNA	#N/A	
MAURY	TN	7	TN-MAURY	#N/A	
MAVERICK	TX	1	TX-MAVERICK	#N/A	
MAYES	OK	11	OK-MAYES	#N/A	
MCCRACKEN	KY	70	KY-MCCRACKEN	#N/A	
MCCREARY	KY	8	KY-MCCREARY	#N/A	
MCCURTAIN	OK	4	OK-MCCURTAIN	#N/A	
MCDONOUGH	IL	17	IL-MCDONOUGH	#N/A	
MCDOWELL	WV	5	WV-MCDOWELL	#N/A	
MCDUFFIE	GA	4	GA-MCDUFFIE	#N/A	
MCHENRY	IL	93	IL-MCHENRY	#N/A	
MCKINLEY	NM	1	NM-MCKINLEY	#N/A	
MCLEAN	IL	69	IL-MCLEAN	#N/A	
MCLEAN	ND	1	ND-MCLEAN	#N/A	
MCLENNAN	TX	17	TX-MCLENNAN	#N/A	
MCMINN	TN	12	TN-MCMINN	#N/A	
MCNAIRY	TN	15	TN-MCNAIRY	#N/A	
MEADE	KY	3	KY-MEADE	#N/A	
MECKLENBURG	NC	21	NC-MECKLENBURG	#N/A	
MECKLENBURG	VA	1	VA-MECKLENBURG	#N/A	
MECOSTA	MI	6	MI-MECOSTA	#N/A	
MEDINA	OH	9	OH-MEDINA	#N/A	
MEDINA	TX	1	TX-MEDINA	#N/A	
MEEKER	MN	1	MN-MEEKER	#N/A	
MEIGS	OH	2	OH-MEIGS	#N/A	
MEIGS	TN	2	TN-MEIGS	#N/A	
MENARD	IL	1	IL-MENARD	#N/A	
MENDOCINO	CA	1	CA-MENDOCINO	#N/A	
MENIFEE	KY	1	KY-MENIFEE	#N/A	
MENOMINEE	MI	5	MI-MENOMINEE	#N/A	
MERCED	CA	1	CA-MERCED	#N/A	
MERCER	IL	1	IL-MERCER	#N/A	
MERCER	KY	3	KY-MERCER	#N/A	
MERCER	ND	2	ND-MERCER	#N/A	
MERCER	NJ	1	NJ-MERCER	#N/A	
MERCER	OH	4	OH-MERCER	#N/A	
MERCER	WV	7	WV-MERCER	#N/A	
MERIWETHER	GA	2	GA-MERIWETHER	#N/A	
MERRIMACK	NH	3	NH-MERRIMACK	#N/A	
MESA	CO	4	CO-MESA	#N/A	
METCALFE	KY	5	KY-METCALFE	#N/A	
MIAMI	IN	12	IN-MIAMI	#N/A	
MIAMI	KS	1	KS-MIAMI	#N/A	
MIAMI	OH	34	OH-MIAMI	#N/A	
MIDDLESEX	CT	1	CT-MIDDLESEX	#N/A	
MIDDLESEX	MA	9	MA-MIDDLESEX	#N/A	
MIDDLESEX	NJ	2	NJ-MIDDLESEX	#N/A	
MIDLAND	MI	3	MI-MIDLAND	#N/A	
MIDLAND	TX	1	TX-MIDLAND	#N/A	
MILLE LACS	MN	3	MN-MILLE LACS	#N/A	
MILLER	AR	3	AR-MILLER	#N/A	
MILLER	MO	1	MO-MILLER	#N/A	
MILLS	IA	1	IA-MILLS	#N/A	
MILWAUKEE	WI	394	WI-MILWAUKEE	#N/A	
MINGO	WV	5	WV-MINGO	#N/A	
MINNEHAHA	SD	6	SD-MINNEHAHA	#N/A	
MISSAUKEE	MI	1	MI-MISSAUKEE	#N/A	
MISSISSIPPI	AR	63	AR-MISSISSIPPI	#N/A	
MISSISSIPPI	MO	1	MO-MISSISSIPPI	#N/A	
MISSOULA	MT	6	MT-MISSOULA	#N/A	
MITCHELL	NC	1	NC-MITCHELL	#N/A	
MOBILE	AL	48	AL-MOBILE	#N/A	
MOFFAT	CO	1	CO-MOFFAT	#N/A	
MOHAVE	AZ	7	AZ-MOHAVE	#N/A	
MONMOUTH	NJ	3	NJ-MONMOUTH	#N/A	
MONONGALIA	WV	5	WV-MONONGALIA	#N/A	
MONROE	AL	1	AL-MONROE	#N/A	
MONROE	AR	15	AR-MONROE	#N/A	
MONROE	FL	2	FL-MONROE	#N/A	
MONROE	IL	1	IL-MONROE	#N/A	
MONROE	IN	33	IN-MONROE	#N/A	
MONROE	MI	5	MI-MONROE	#N/A	
MONROE	MS	55	MS-MONROE	#N/A	
MONROE	NY	6	NY-MONROE	#N/A	
MONROE	PA	3	PA-MONROE	#N/A	
MONROE	TN	12	TN-MONROE	#N/A	
MONROE	WI	8	WI-MONROE	#N/A	
MONTAGUE	TX	2	TX-MONTAGUE	#N/A	
MONTCALM	MI	7	MI-MONTCALM	#N/A	
MONTEREY	CA	9	CA-MONTEREY	#N/A	
MONTGOMERY	AL	93	AL-MONTGOMERY	#N/A	
MONTGOMERY	IA	1	IA-MONTGOMERY	#N/A	
MONTGOMERY	IL	5	IL-MONTGOMERY	#N/A	
MONTGOMERY	IN	20	IN-MONTGOMERY	#N/A	
MONTGOMERY	KS	6	KS-MONTGOMERY	#N/A	
MONTGOMERY	KY	9	KY-MONTGOMERY	#N/A	
MONTGOMERY	MD	4	MD-MONTGOMERY	#N/A	
MONTGOMERY	MO	1	MO-MONTGOMERY	#N/A	
MONTGOMERY	MS	36	MS-MONTGOMERY	#N/A	
MONTGOMERY	NC	1	NC-MONTGOMERY	#N/A	
MONTGOMERY	OH	69	OH-MONTGOMERY	#N/A	
MONTGOMERY	PA	3	PA-MONTGOMERY	#N/A	
MONTGOMERY	TN	22	TN-MONTGOMERY	#N/A	
MONTGOMERY	TX	4	TX-MONTGOMERY	#N/A	
MONTGOMERY	VA	5	VA-MONTGOMERY	#N/A	
MONTROSE	CO	3	CO-MONTROSE	#N/A	
MOORE	NC	4	NC-MOORE	#N/A	
MOREHOUSE	LA	10	LA-MOREHOUSE	#N/A	
MORGAN	AL	40	AL-MORGAN	#N/A	
MORGAN	CO	1	CO-MORGAN	#N/A	
MORGAN	GA	1	GA-MORGAN	#N/A	
MORGAN	IL	9	IL-MORGAN	#N/A	
MORGAN	IN	14	IN-MORGAN	#N/A	
MORGAN	KY	3	KY-MORGAN	#N/A	
MORGAN	OH	1	OH-MORGAN	#N/A	
MORGAN	TN	3	TN-MORGAN	#N/A	
MORGAN	UT	1	UT-MORGAN	#N/A	
MORRIS	NJ	1	NJ-MORRIS	#N/A	
MORRISON	MN	1	MN-MORRISON	#N/A	
MOWER	MN	3	MN-MOWER	#N/A	
MUHLENBERG	KY	39	KY-MUHLENBERG	#N/A	
MULTNOMAH	OR	6	OR-MULTNOMAH	#N/A	
MURRAY	GA	23	GA-MURRAY	#N/A	
MUSCATINE	IA	1	IA-MUSCATINE	#N/A	
MUSCOGEE	GA	48	GA-MUSCOGEE	#N/A	
MUSKEGON	MI	20	MI-MUSKEGON	#N/A	
MUSKINGUM	OH	2	OH-MUSKINGUM	#N/A	
MUSKOGEE	OK	5	OK-MUSKOGEE	#N/A	
NACOGDOCHES	TX	3	TX-NACOGDOCHES	#N/A	
NASH	NC	2	NC-NASH	#N/A	
NASSAU	FL	1	FL-NASSAU	#N/A	
NASSAU	NY	14	NY-NASSAU	#N/A	
NATCHITOCHES	LA	1	LA-NATCHITOCHES	#N/A	
NATRONA	WY	6	WY-NATRONA	#N/A	
NAVAJO	AZ	4	AZ-NAVAJO	#N/A	
NAVARRO	TX	2	TX-NAVARRO	#N/A	
NELSON	KY	9	KY-NELSON	#N/A	
NESHOBA	MS	17	MS-NESHOBA	#N/A	
NEVADA	AR	1	AR-NEVADA	#N/A	
NEW CASTLE	DE	6	DE-NEW CASTLE	#N/A	
NEW HANOVER	NC	4	NC-NEW HANOVER	#N/A	
NEW HAVEN	CT	9	CT-NEW HAVEN	#N/A	
NEW LONDON	CT	6	CT-NEW LONDON	#N/A	
NEW MADRID	MO	2	MO-NEW MADRID	#N/A	
NEW YORK	NY	10	NY-NEW YORK	#N/A	
NEWAYGO	MI	3	MI-NEWAYGO	#N/A	
NEWBERRY	SC	1	SC-NEWBERRY	#N/A	
NEWPORT NEWS CITY	VA	19	VA-NEWPORT NEWS CITY	#N/A	
NEWPORT	RI	1	RI-NEWPORT	#REF!	
NEWTON	GA	5	GA-NEWTON	#N/A	
NEWTON	IN	9	IN-NEWTON	#N/A	
NEWTON	MS	2	MS-NEWTON	#N/A	
NEZ PERCE	ID	2	ID-NEZ PERCE	#N/A	
NIAGARA	NY	3	NY-NIAGARA	#N/A	
NICHOLAS	WV	5	WV-NICHOLAS	#N/A	
NICOLLET	MN	4	MN-NICOLLET	#N/A	
NOBLE	IN	22	IN-NOBLE	#N/A	
NOBLE	OH	1	OH-NOBLE	#N/A	
NOLAN	TX	1	TX-NOLAN	#N/A	
NORFOLK CITY	VA	41	VA-NORFOLK CITY	#N/A	
NORFOLK	MA	6	MA-NORFOLK	#REF!	
NORTHUMBERLAND	PA	1	PA-NORTHUMBERLAND	#N/A	
NORTHUMBERLAND	VA	1	VA-NORTHUMBERLAND	#N/A	
NORTON CITY	VA	3	VA-NORTON CITY	#N/A	
NOXUBEE	MS	7	MS-NOXUBEE	#REF!	
NUECES	TX	15	TX-NUECES	#N/A	
NYE	NV	1	NV-NYE	#N/A	
OAKLAND	MI	39	MI-OAKLAND	#N/A	
OBION	TN	14	TN-OBION	#N/A	
OBRIEN	IA	1	IA-OBRIEN	#N/A	
OCEAN	NJ	1	NJ-OCEAN	#N/A	
OCEANA	MI	3	MI-OCEANA	#N/A	
OCONEE	GA	19	GA-OCONEE	#N/A	
OCONEE	SC	1	SC-OCONEE	#N/A	
OCONTO	WI	14	WI-OCONTO	#N/A	
OGEMAW	MI	1	MI-OGEMAW	#N/A	
OGLE	IL	8	IL-OGLE	#N/A	
OHIO	KY	6	KY-OHIO	#N/A	
OHIO	WV	3	WV-OHIO	#N/A	
OKALOOSA	FL	13	FL-OKALOOSA	#N/A	
OKANOGAN	WA	1	WA-OKANOGAN	#N/A	
OKEECHOBEE	FL	1	FL-OKEECHOBEE	#N/A	
OKLAHOMA	OK	58	OK-OKLAHOMA	#N/A	
OKMULGEE	OK	2	OK-OKMULGEE	#N/A	
OKTIBBEHA	MS	40	MS-OKTIBBEHA	#N/A	
OLDHAM	KY	5	KY-OLDHAM	#N/A	
OLMSTED	MN	7	MN-OLMSTED	#N/A	
ONEIDA	NY	1	NY-ONEIDA	#N/A	
ONEIDA	WI	11	WI-ONEIDA	#N/A	
ONONDAGA	NY	2	NY-ONONDAGA	#N/A	
ONSLOW	NC	40	NC-ONSLOW	#N/A	
ONTARIO	NY	1	NY-ONTARIO	#N/A	
ORANGE	CA	40	CA-ORANGE	#N/A	
ORANGE	FL	42	FL-ORANGE	#N/A	
ORANGE	IN	4	IN-ORANGE	#N/A	
ORANGE	NC	4	NC-ORANGE	#N/A	
ORANGE	NY	3	NY-ORANGE	#N/A	
ORANGE	TX	2	TX-ORANGE	#N/A	
ORANGEBURG	SC	5	SC-ORANGEBURG	#N/A	
ORLEANS	LA	13	LA-ORLEANS	#N/A	
OSAGE	KS	2	KS-OSAGE	#N/A	
OSAGE	MO	2	MO-OSAGE	#N/A	
OSAGE	OK	1	OK-OSAGE	#N/A	
OSCEOLA	FL	8	FL-OSCEOLA	#N/A	
OSCEOLA	IA	1	IA-OSCEOLA	#N/A	
OSCEOLA	MI	1	MI-OSCEOLA	#N/A	
OTERO	NM	4	NM-OTERO	#N/A	
OTSEGO	MI	1	MI-OTSEGO	#N/A	
OTSEGO	NY	1	NY-OTSEGO	#N/A	
OTTAWA	MI	8	MI-OTTAWA	#N/A	
OTTAWA	OK	1	OK-OTTAWA	#N/A	
OUACHITA	AR	3	AR-OUACHITA	#N/A	
OUACHITA	LA	35	LA-OUACHITA	#N/A	
OUTAGAMIE	WI	34	WI-OUTAGAMIE	#N/A	
OVERTON	TN	1	TN-OVERTON	#N/A	
OWEN	IN	1	IN-OWEN	#N/A	
OWEN	KY	1	KY-OWEN	#N/A	
OWSLEY	KY	2	KY-OWSLEY	#N/A	
OXFORD	ME	1	ME-OXFORD	#N/A	
OZAUKEE	WI	3	WI-OZAUKEE	#N/A	
PAGE	IA	2	IA-PAGE	#N/A	
PAGE	VA	1	VA-PAGE	#N/A	
PALM BEACH	FL	43	FL-PALM BEACH	#N/A	
PALO ALTO	IA	1	IA-PALO ALTO	#N/A	
PALO PINTO	TX	1	TX-PALO PINTO	#N/A	
PAMLICO	NC	1	NC-PAMLICO	#N/A	
PANOLA	MS	88	MS-PANOLA	#N/A	
PANOLA	TX	1	TX-PANOLA	#N/A	
PARK	CO	1	CO-PARK	#N/A	
PARK	MT	1	MT-PARK	#N/A	
PARK	WY	1	WY-PARK	#N/A	
PARKE	IN	7	IN-PARKE	#N/A	
PARKER	TX	2	TX-PARKER	#N/A	
PASCO	FL	5	FL-PASCO	#N/A	
PASQUOTANK	NC	2	NC-PASQUOTANK	#N/A	
PASSAIC	NJ	1	NJ-PASSAIC	#N/A	
PATRICK	VA	2	VA-PATRICK	#N/A	
PAULDING	OH	2	OH-PAULDING	#N/A	
PAYETTE	ID	1	ID-PAYETTE	#N/A	
PAYNE	OK	2	OK-PAYNE	#N/A	
PEACH	GA	3	GA-PEACH	#N/A	
PEARL RIVER	MS	10	MS-PEARL RIVER	#N/A	
PEMISCOT	MO	5	MO-PEMISCOT	#N/A	
PEND OREILLE	WA	1	WA-PEND OREILLE	#N/A	
PENDER	NC	7	NC-PENDER	#N/A	
PENDLETON	KY	3	KY-PENDLETON	#N/A	
PENDLETON	WV	1	WV-PENDLETON	#N/A	
PENNINGTON	MN	1	MN-PENNINGTON	#N/A	
PENNINGTON	SD	10	SD-PENNINGTON	#N/A	
PENOBSCOT	ME	2	ME-PENOBSCOT	#N/A	
PEORIA	IL	102	IL-PEORIA	#N/A	
PERRY	AL	3	AL-PERRY	#N/A	
PERRY	IL	28	IL-PERRY	#N/A	
PERRY	IN	4	IN-PERRY	#N/A	
PERRY	KY	32	KY-PERRY	#N/A	
PERRY	OH	1	OH-PERRY	#N/A	
PERRY	TN	2	TN-PERRY	#N/A	
PETERSBURG CITY	VA	1	VA-PETERSBURG CITY	#N/A	
PETTIS	MO	6	MO-PETTIS	#REF!	
PHELPS	MO	6	MO-PHELPS	#N/A	
PHILADELPHIA	PA	9	PA-PHILADELPHIA	#N/A	
PHILLIPS	AR	92	AR-PHILLIPS	#N/A	
PIATT	IL	6	IL-PIATT	#N/A	
PICKAWAY	OH	3	OH-PICKAWAY	#N/A	
PICKENS	AL	4	AL-PICKENS	#N/A	
PICKENS	GA	9	GA-PICKENS	#N/A	
PICKETT	TN	1	TN-PICKETT	#N/A	
PIERCE	ND	1	ND-PIERCE	#N/A	
PIERCE	WA	24	WA-PIERCE	#N/A	
PIERCE	WI	2	WI-PIERCE	#N/A	
PIKE	AL	1	AL-PIKE	#N/A	
PIKE	AR	3	AR-PIKE	#N/A	
PIKE	IL	2	IL-PIKE	#N/A	
PIKE	KY	11	KY-PIKE	#N/A	
PIKE	MO	2	MO-PIKE	#N/A	
PIKE	MS	33	MS-PIKE	#N/A	
PIKE	OH	5	OH-PIKE	#N/A	
PIMA	AZ	49	AZ-PIMA	#N/A	
PINAL	AZ	6	AZ-PINAL	#N/A	
PINE	MN	5	MN-PINE	#N/A	
PINELLAS	FL	29	FL-PINELLAS	#N/A	
PISCATAQUIS	ME	2	ME-PISCATAQUIS	#N/A	
PITT	NC	3	NC-PITT	#N/A	
PLACER	CA	3	CA-PLACER	#N/A	
PLAQUEMINES	LA	1	LA-PLAQUEMINES	#N/A	
PLATTE	MO	2	MO-PLATTE	#N/A	
PLATTE	NE	1	NE-PLATTE	#N/A	
PLEASANTS	WV	1	WV-PLEASANTS	#N/A	
PLYMOUTH	IA	2	IA-PLYMOUTH	#N/A	
POCAHONTAS	IA	1	IA-POCAHONTAS	#N/A	
POINSETT	AR	9	AR-POINSETT	#N/A	
POINTE COUPEE	LA	2	LA-POINTE COUPEE	#N/A	
POLK	AR	5	AR-POLK	#N/A	
POLK	FL	22	FL-POLK	#N/A	
POLK	GA	4	GA-POLK	#N/A	
POLK	IA	53	IA-POLK	#N/A	
POLK	MN	2	MN-POLK	#N/A	
POLK	MO	2	MO-POLK	#N/A	
POLK	TN	7	TN-POLK	#N/A	
POLK	TX	2	TX-POLK	#N/A	
POLK	WI	1	WI-POLK	#N/A	
PONTOTOC	MS	31	MS-PONTOTOC	#N/A	
PONTOTOC	OK	7	OK-PONTOTOC	#N/A	
POPE	AR	4	AR-POPE	#N/A	
POPE	IL	1	IL-POPE	#N/A	
POPE	MN	1	MN-POPE	#N/A	
PORTAGE	OH	8	OH-PORTAGE	#N/A	
PORTAGE	WI	8	WI-PORTAGE	#N/A	
PORTER	IN	905	IN-PORTER	#N/A	
PORTSMOUTH CITY	VA	1	VA-PORTSMOUTH CITY	#N/A	
POSEY	IN	1	IN-POSEY	#REF!	
POTTAWATOMIE	OK	4	OK-POTTAWATOMIE	#N/A	
POTTAWATTAMIE	IA	4	IA-POTTAWATTAMIE	#N/A	
POTTER	TX	7	TX-POTTER	#N/A	
POWELL	KY	1	KY-POWELL	#N/A	
POWESHIEK	IA	2	IA-POWESHIEK	#N/A	
PRAIRIE	AR	6	AR-PRAIRIE	#N/A	
PRATT	KS	2	KS-PRATT	#N/A	
PREBLE	OH	6	OH-PREBLE	#N/A	
PRENTISS	MS	26	MS-PRENTISS	#N/A	
PRESTON	WV	4	WV-PRESTON	#N/A	
PRICE	WI	7	WI-PRICE	#N/A	
PRINCE EDWARD	VA	1	VA-PRINCE EDWARD	#N/A	
PRINCE GEORGES	MD	14	MD-PRINCE GEORGES	#N/A	
PRINCE WILLIAM	VA	4	VA-PRINCE WILLIAM	#N/A	
PROVIDENCE	RI	3	RI-PROVIDENCE	#N/A	
PROWERS	CO	2	CO-PROWERS	#N/A	
PUEBLO	CO	10	CO-PUEBLO	#N/A	
PULASKI	AR	175	AR-PULASKI	#N/A	
PULASKI	GA	1	GA-PULASKI	#N/A	
PULASKI	IL	11	IL-PULASKI	#N/A	
PULASKI	IN	9	IN-PULASKI	#N/A	
PULASKI	KY	20	KY-PULASKI	#N/A	
PULASKI	MO	7	MO-PULASKI	#N/A	
PULASKI	VA	1	VA-PULASKI	#N/A	
PUTNAM	FL	2	FL-PUTNAM	#N/A	
PUTNAM	GA	2	GA-PUTNAM	#N/A	
PUTNAM	IL	3	IL-PUTNAM	#N/A	
PUTNAM	IN	7	IN-PUTNAM	#N/A	
PUTNAM	OH	2	OH-PUTNAM	#N/A	
PUTNAM	TN	3	TN-PUTNAM	#N/A	
PUTNAM	WV	3	WV-PUTNAM	#N/A	
QUAY	NM	1	NM-QUAY	#N/A	
QUITMAN	MS	21	MS-QUITMAN	#N/A	
RABUN	GA	1	GA-RABUN	#N/A	
RACINE	WI	102	WI-RACINE	#N/A	
RALEIGH	WV	12	WV-RALEIGH	#N/A	
RALLS	MO	1	MO-RALLS	#N/A	
RAMSEY	MN	18	MN-RAMSEY	#N/A	
RANDALL	TX	1	TX-RANDALL	#N/A	
RANDOLPH	AL	4	AL-RANDOLPH	#N/A	
RANDOLPH	AR	3	AR-RANDOLPH	#N/A	
RANDOLPH	GA	4	GA-RANDOLPH	#N/A	
RANDOLPH	IL	6	IL-RANDOLPH	#N/A	
RANDOLPH	IN	41	IN-RANDOLPH	#N/A	
RANDOLPH	NC	4	NC-RANDOLPH	#N/A	
RANDOLPH	WV	3	WV-RANDOLPH	#N/A	
RANKIN	MS	66	MS-RANKIN	#N/A	
RAPIDES	LA	20	LA-RAPIDES	#N/A	
RAVALLI	MT	2	MT-RAVALLI	#N/A	
RAY	MO	1	MO-RAY	#N/A	
RED RIVER	TX	1	TX-RED RIVER	#N/A	
REDWOOD	MN	1	MN-REDWOOD	#N/A	
RENO	KS	4	KS-RENO	#N/A	
RENSSELAER	NY	1	NY-RENSSELAER	#N/A	
RHEA	TN	3	TN-RHEA	#N/A	
RICE	MN	7	MN-RICE	#N/A	
RICHARDSON	NE	1	NE-RICHARDSON	#N/A	
RICHLAND	IL	4	IL-RICHLAND	#N/A	
RICHLAND	LA	5	LA-RICHLAND	#N/A	
RICHLAND	OH	29	OH-RICHLAND	#N/A	
RICHLAND	SC	13	SC-RICHLAND	#N/A	
RICHLAND	WI	3	WI-RICHLAND	#N/A	
RICHMOND CITY	VA	7	VA-RICHMOND CITY	#N/A	
RICHMOND	GA	27	GA-RICHMOND	#REF!	
RICHMOND	NC	1	NC-RICHMOND	#N/A	
RICHMOND	NY	1	NY-RICHMOND	#N/A	
RILEY	KS	19	KS-RILEY	#N/A	
RIO ARRIBA	NM	1	NM-RIO ARRIBA	#N/A	
RIPLEY	IN	1	IN-RIPLEY	#N/A	
RITCHIE	WV	1	WV-RITCHIE	#N/A	
RIVERSIDE	CA	27	CA-RIVERSIDE	#N/A	
ROANE	TN	10	TN-ROANE	#N/A	
ROANE	WV	2	WV-ROANE	#N/A	
ROANOKE CITY	VA	4	VA-ROANOKE CITY	#N/A	
ROANOKE	VA	2	VA-ROANOKE	#REF!	
ROBERTSON	TN	7	TN-ROBERTSON	#N/A	
ROBESON	NC	4	NC-ROBESON	#N/A	
ROCK ISLAND	IL	63	IL-ROCK ISLAND	#N/A	
ROCK	MN	1	MN-ROCK	#N/A	
ROCK	WI	81	WI-ROCK	#N/A	
ROCKBRIDGE	VA	2	VA-ROCKBRIDGE	#N/A	
ROCKCASTLE	KY	2	KY-ROCKCASTLE	#N/A	
ROCKDALE	GA	8	GA-ROCKDALE	#N/A	
ROCKINGHAM	NC	4	NC-ROCKINGHAM	#N/A	
ROCKINGHAM	NH	9	NH-ROCKINGHAM	#N/A	
ROCKINGHAM	VA	1	VA-ROCKINGHAM	#N/A	
ROCKLAND	NY	2	NY-ROCKLAND	#N/A	
ROCKWALL	TX	1	TX-ROCKWALL	#N/A	
ROGERS	OK	5	OK-ROGERS	#N/A	
ROSS	OH	5	OH-ROSS	#N/A	
ROWAN	KY	31	KY-ROWAN	#N/A	
ROWAN	NC	4	NC-ROWAN	#N/A	
RUSH	IN	1	IN-RUSH	#N/A	
RUSK	WI	2	WI-RUSK	#N/A	
RUSSELL	AL	5	AL-RUSSELL	#N/A	
RUSSELL	KY	10	KY-RUSSELL	#N/A	
RUSSELL	VA	1	VA-RUSSELL	#N/A	
RUTHERFORD	NC	4	NC-RUTHERFORD	#N/A	
RUTHERFORD	TN	16	TN-RUTHERFORD	#N/A	
SABINE	LA	1	LA-SABINE	#N/A	
SABINE	TX	1	TX-SABINE	#N/A	
